n-Links	True Length	Predicted Length
2	5099.01951359	4523.57148722
2	5147.81507049	5656.53303712
2	4272.00187266	4092.46685998
2	6500.0	5810.62053485
2	2828.42712475	3125.51803706
2	7158.91053164	6079.94095366
2	5700.8771255	6210.49997987
2	6964.19413859	7392.76010702
2	3278.71926215	3960.14608316
2	3354.10196625	3244.75291817
2	5220.15325446	4718.08965578
2	7500.0	7219.59015457
2	4031.12887415	3958.53388264
2	8062.2577483	8095.37868169
2	7228.4161474	7518.72795092
2	7500.0	7041.99687589
2	6041.5229868	5830.33926972
2	6103.27780787	6101.82103966
2	3201.56211872	2933.36035972
2	2828.42712475	2991.73979484
2	8200.60973343	7727.72346814
2	2915.47594742	2581.66283624
2	8062.2577483	7880.98737469
2	1802.77563773	2080.06448217
2	7228.4161474	7042.68684523
2	6403.12423743	7972.62829938
2	3774.91721764	3933.81538713
2	7905.69415042	7600.46788033
2	5590.16994375	4586.7547351
2	6324.55532034	5980.7915864
2	4609.77222865	4081.1695015
2	7071.06781187	5850.52236984
2	6519.2024052	6580.66698747
2	4609.77222865	4698.52530056
2	5408.3269132	5288.45762014
2	5894.91306128	6447.43049594
2	6800.73525437	6244.72353271
2	4609.77222865	4196.67987819
2	7017.83442381	7888.08100871
2	6041.5229868	5819.70806828
2	7211.10255093	7206.47111976
2	3605.55127546	3839.55290366
2	6184.65843843	6659.41634079
2	4743.41649025	5810.56322571
2	5454.35605732	6731.48482877
2	2236.0679775	2317.41466941
2	6020.7972894	5946.25251734
2	6500.0	6034.60321811
2	4609.77222865	4069.45070003
2	6264.98204307	5532.0908344
2	4472.135955	4755.90086104
2	8154.75321515	8826.92993062
2	6964.19413859	6730.51053041
2	5894.91306128	5962.1311626
2	5099.01951359	4359.33515573
2	6670.83203206	5902.79137358
2	3640.05494464	3207.44165964
2	5220.15325446	4658.25589679
2	5408.3269132	5029.64084205
2	4272.00187266	3887.87486939
2	2692.58240357	2330.07955873
2	7106.33520178	7251.19217784
2	4242.64068712	4250.06505833
2	3201.56211872	3208.52388179
2	4272.00187266	3659.61275274
2	7500.0	7173.00954969
2	5477.22557505	6030.63462664
2	6782.32998313	7473.22072469
2	7382.41153012	7022.71087259
2	4272.00187266	4375.07257083
2	7071.06781187	7360.68230533
2	6324.55532034	6016.58000861
2	6103.27780787	5919.55462852
2	6422.61628933	8037.67777408
2	5830.95189485	5803.5854435
2	4031.12887415	3511.99523063
2	3674.23461417	4962.10842284
2	5315.07290637	5123.05699754
2	5590.16994375	4867.1980646
2	3774.91721764	3747.00353616
2	3162.27766017	2838.5738937
2	7035.62363974	6902.35293215
2	5315.07290637	4879.37352536
2	2236.0679775	2425.07056598
2	5147.81507049	5291.50470093
2	6946.22199472	8758.60285662
2	2500.0	2168.14603982
2	5000.0	5098.93126057
2	6403.12423743	6789.41131469
2	6224.94979899	6926.32918652
2	6800.73525437	6691.87611959
2	6422.61628933	7107.42935245
2	5454.35605732	6853.93157246
2	4949.74746831	5948.41314974
2	5852.34995536	5651.9655873
2	7158.91053164	6616.91876934
2	7297.25975966	8826.61384677
2	3605.55127546	5441.50833869
2	6800.73525437	5910.48297519
2	5147.81507049	6026.18876239
2	5590.16994375	4669.08866911
2	6184.65843843	5534.72682253
2	3354.10196625	3079.23829867
2	3905.12483795	3624.28641252
2	7778.17459305	8827.19751677
2	5500.0	6619.04766564
2	3807.88655293	3567.50711282
2	4500.0	5230.63839316
2	5500.0	5930.53656932
2	2692.58240357	2956.33751456
2	3640.05494464	3005.38408527
2	6800.73525437	5803.10175682
2	7158.91053164	5689.68865581
2	2915.47594742	3025.71487421
2	3000.0	3676.20068821
2	5590.16994375	5221.69072236
2	6595.45297914	7190.03324054
2	7158.91053164	5955.68971657
2	5656.85424949	5727.97974857
2	7211.10255093	7132.4021199
2	5590.16994375	4566.85340251
2	6184.65843843	5465.72373982
2	5590.16994375	4807.42051416
2	7500.0	7138.52309655
2	6264.98204307	6008.21795543
2	7280.10988928	6531.86252152
2	4636.80924775	6029.73075684
2	8602.32526704	8518.59612847
2	5500.0	5987.33246112
2	8845.90300648	8813.48671072
2	8015.60977094	8827.34569392
2	6689.54408013	7332.28750118
2	9552.48658727	8827.4578447
2	6946.22199472	6650.1669152
2	4690.41575982	5876.66444507
2	5787.9184514	6793.76243329
2	3774.91721764	4548.42335321
2	6800.73525437	6166.5985762
2	2500.0	2324.08498123
2	7632.16876124	7232.55086398
2	7433.03437366	6256.74835677
2	2236.0679775	2830.99704168
2	6184.65843843	4618.5359152
2	5744.56264654	7067.78819717
2	4609.77222865	3977.49626021
2	7106.33520178	7211.95798657
2	4031.12887415	3816.08975261
2	4743.41649025	4908.51606904
2	5590.16994375	4588.16684527
2	3162.27766017	2988.34402303
2	4743.41649025	4498.87741553
2	7697.40215917	7767.10010235
2	4609.77222865	4016.60945326
2	4609.77222865	4611.60948043
2	4472.135955	4425.73620994
2	4123.10562562	4109.35803989
2	2500.0	1839.08051074
2	6363.96103068	8097.22606823
2	4031.12887415	4617.22925573
2	7211.10255093	7309.3463456
2	5454.35605732	7108.98079896
2	6819.09084849	8068.64573519
2	4272.00187266	4297.15882881
2	5787.9184514	7223.99390919
2	3316.62479036	3907.53643617
2	5220.15325446	4365.04627696
2	4031.12887415	3790.31707117
2	6726.81202354	6699.02530224
2	4301.16263352	4478.24016774
2	5408.3269132	5186.02873112
2	7106.33520178	7324.46202803
2	3605.55127546	3581.73002891
2	5700.8771255	5132.26821201
2	6670.83203206	8659.6861375
2	5147.81507049	5161.03022661
2	3082.20700148	4230.88489562
2	4242.64068712	4682.4113446
2	4609.77222865	4048.0288413
2	4609.77222865	4107.4073331
2	4974.93718553	6183.95358974
2	5873.67006224	7542.13921908
2	6708.2039325	6654.72974658
2	6892.02437605	8827.42046127
2	3640.05494464	3031.04800358
2	5590.16994375	4032.05326106
2	2500.0	2212.1416659
2	5099.01951359	4603.15533086
2	5852.34995536	6200.1719331
2	7905.69415042	8025.6429026
2	3500.0	4113.52476594
2	3201.56211872	2828.42853896
2	3674.23461417	4327.82358698
2	5220.15325446	4942.34387715
2	6964.19413859	6572.14881146
2	6103.27780787	6037.82195829
2	7810.24967591	7884.18670504
2	5678.9083458	5787.68511583
2	6726.81202354	6712.99262624
2	3000.0	3782.13200457
2	2500.0	2363.03353764
2	4242.64068712	4558.4763902
2	4415.88043316	5187.88935888
2	4472.135955	4619.1061906
2	3640.05494464	3045.25622896
2	6946.22199472	6631.27619693
2	6184.65843843	6939.2916065
2	4272.00187266	3941.05512522
2	6041.5229868	7901.58452464
2	5830.95189485	5995.71096702
2	5220.15325446	4482.79533327
2	4609.77222865	3527.46041792
2	2500.0	2509.45053747
2	6500.0	5854.15749703
2	3905.12483795	3674.76910839
2	5787.9184514	7075.21194029
2	7017.83442381	7230.23443603
2	4031.12887415	5329.96491546
2	3937.00393701	4564.57456944
2	7106.33520178	7128.46491189
2	6910.13748054	7332.39960722
2	5916.0797831	6189.12287808
2	6123.72435696	6745.70915471
2	5385.16480713	5210.00854126
2	5408.3269132	6426.01260503
2	6264.98204307	5799.80913479
2	6576.47321898	7306.63958328
2	6020.7972894	5873.42106442
2	1802.77563773	1811.19339111
2	4821.8253805	6412.6841494
2	7071.06781187	7065.02314221
2	3354.10196625	2806.96076745
2	6344.28877022	6651.00338295
2	6800.73525437	7254.13826722
2	5894.91306128	6779.46428562
2	6103.27780787	5989.61651527
2	8485.28137424	8658.37259536
2	6103.27780787	5731.44789735
2	6800.73525437	6162.87059738
2	4472.135955	4117.32643836
2	5873.67006224	7414.70943463
2	3807.88655293	3393.6078147
2	5830.95189485	6101.00926077
2	6670.83203206	5961.67073898
2	4301.16263352	5244.65337272
2	6800.73525437	6921.55358283
2	4716.99056603	4593.64974721
2	6324.55532034	5847.99555403
2	5099.01951359	4217.07031006
2	2915.47594742	3092.69979144
2	5522.68050859	6721.10050513
2	7382.41153012	8538.86948021
2	7778.17459305	7879.99720812
2	7106.33520178	7027.85657224
2	4123.10562562	3816.54529647
2	7211.10255093	7301.68884574
2	6184.65843843	7234.42077847
3	6480.74069841	5987.30799275
3	7228.4161474	7884.17972905
3	6224.94979899	7802.34234061
3	7697.40215917	6841.67435647
3	7810.24967591	7994.73989571
3	7952.98686029	7377.27659777
3	8062.2577483	6436.74047947
3	5916.0797831	5459.09085838
3	6614.37827766	7113.29297864
3	7952.98686029	7516.67932002
3	7314.36941916	8765.22332859
3	7968.68872525	7260.44778233
3	8077.7472107	7559.86124211
3	6633.24958071	8116.62565356
3	8902.24690738	7187.87159039
3	6184.65843843	8556.53376082
3	6855.6546004	7581.74425841
3	8276.47267862	8288.08421772
3	6708.2039325	5340.99925108
3	7615.77310586	6074.746826
3	6264.98204307	8242.99448016
3	7905.69415042	6571.9215607
3	7905.69415042	6484.02961128
3	7228.4161474	6984.0703032
3	7141.42842854	7911.89484258
3	8845.90300648	7505.97788433
3	7952.98686029	8205.17726804
3	5522.68050859	6592.95426952
3	9682.45836552	9721.79859902
3	5123.47538298	4795.97378016
3	8573.21409974	8318.38686285
3	7648.52927039	7513.59887138
3	9367.4969976	8828.78598676
3	5408.3269132	5577.75286294
3	6670.83203206	7128.02532263
3	6576.47321898	7568.27562923
3	7088.72343938	7671.3426465
3	7331.43914931	7022.62315663
3	7697.40215917	7095.23142681
3	8381.52730712	7916.16397
3	6873.86354243	6009.09535621
3	5074.44578255	5631.09225639
3	6763.87462923	7217.82224774
3	7984.35971134	8247.5881323
3	8046.73846972	7063.60778922
3	8972.17922246	8444.23720652
3	7449.83221288	8442.0182421
3	8154.75321515	8050.82368457
3	9552.48658727	7608.91858282
3	7566.37297521	8320.52426233
3	7088.72343938	7081.25109003
3	7176.3500472	7388.96650419
3	7582.87544405	7607.48604994
3	7842.19357068	7657.90075673
3	8774.96438739	8891.44397722
3	9192.38815543	7647.6113918
3	6363.96103068	6711.24302942
3	7905.69415042	8765.06999402
3	6595.45297914	7027.35810956
3	7921.48975888	7991.95670659
3	7228.4161474	8965.97557436
3	6595.45297914	6860.60879223
3	5385.16480713	4320.59295699
3	7106.33520178	8235.44461459
3	7729.81241687	9574.88381131
3	10012.4921973	8928.65152193
3	7889.86691903	7101.23975092
3	6344.28877022	6163.71681699
3	6184.65843843	7707.83406671
3	9899.49493661	8519.12730272
3	7762.08734813	7056.34763883
3	4555.21678957	6102.37289913
3	6519.2024052	5293.18561927
3	6873.86354243	6758.16809498
3	7794.22863406	9511.38055174
3	9219.54445729	7751.559327
3	6819.09084849	8298.45467542
3	5408.3269132	4917.76712543
3	5454.35605732	6827.22249528
3	8200.60973343	7731.4170758
3	5894.91306128	5473.85860249
3	7826.23792125	8120.81141266
3	5787.9184514	5186.54981659
3	8902.24690738	6853.79391286
3	8381.52730712	7528.76789389
3	6745.36878162	7312.99364146
3	8261.35582093	7213.02135031
3	6726.81202354	6413.74890372
3	8845.90300648	9156.7936528
3	7314.36941916	7788.60796292
3	6500.0	4732.76885132
3	9643.65076099	9721.20609801
3	8215.83836258	8232.65412853
3	6557.4385243	6528.1790723
3	9924.71662064	9721.1229804
3	7433.03437366	5893.13727992
3	7176.3500472	7916.06354194
3	8660.25403784	7801.34962683
3	5937.17104352	5247.56581664
3	6800.73525437	5904.5148827
3	7566.37297521	7260.39365324
3	7106.33520178	6774.81520043
3	8616.84396981	8406.58135035
3	7566.37297521	7205.93102937
3	7449.83221288	9307.68306293
3	8046.73846972	8241.18207541
3	8170.06731918	7654.27410014
3	8689.07359849	8349.14977707
3	9027.73504263	8349.58537893
3	7500.0	7649.03784799
3	7000.0	6526.4028377
3	6782.32998313	9073.65185579
3	7382.41153012	7179.97980499
3	6403.12423743	5335.71063683
3	4873.3971724	5243.28646938
3	8930.28554975	9721.78543273
3	8062.2577483	7683.55698879
3	7778.17459305	6631.69005609
3	5172.04021639	4809.83773115
3	9340.77084613	8139.70441724
3	8200.60973343	8698.44698782
3	6800.73525437	7802.96533377
3	8845.90300648	7132.14603047
3	8514.69318296	8220.62077948
3	8902.24690738	7704.0852799
3	7889.86691903	6449.12614235
3	6689.54408013	5656.74667985
3	5590.16994375	5661.58661508
3	7952.98686029	9495.99873631
3	8062.2577483	6504.67055276
3	6982.12002188	7216.9759595
3	8558.62138431	8317.78095408
3	7141.42842854	6410.51246001
3	7778.17459305	6531.66510164
3	7331.43914931	7929.66064848
3	5545.2682532	5528.690713
3	7280.10988928	8874.80602605
3	8396.42781187	8235.54005515
3	8689.07359849	8391.63142661
3	8139.41029805	6560.21036248
3	4358.89894354	4078.58032899
3	7123.90342439	8309.05879146
3	7141.42842854	7846.23055996
3	6164.41400297	4828.03376127
3	7729.81241687	9391.70900316
3	9785.19289539	9281.69273355
3	7566.37297521	6627.95677415
3	8902.24690738	7668.00639019
3	8874.11967465	8569.71376418
3	7968.68872525	8957.32381909
3	5522.68050859	5612.17774131
3	8139.41029805	6440.40472331
3	8139.41029805	6626.93684895
3	8366.60026534	8561.98551739
3	5590.16994375	5298.74532319
3	8902.24690738	7287.58066851
3	6442.04936336	6567.9923112
3	7382.41153012	6732.44784607
3	6892.02437605	8597.96999297
3	5147.81507049	5963.40716369
3	9656.60395791	8728.13347744
3	7228.4161474	6746.62678677
3	7533.25958666	7008.2576294
3	7905.69415042	6707.21551763
3	7745.96669241	8359.96937793
3	8544.00374532	9501.26980987
3	9552.48658727	7751.56087508
3	7262.91952317	6502.3535739
3	7365.45993133	6499.16402316
3	6422.61628933	5920.15979514
3	7176.3500472	8379.35976075
3	7762.08734813	6544.41051585
3	9708.24391947	9340.70115141
3	6689.54408013	6749.9339256
3	7778.17459305	6813.15705088
3	8514.69318296	9649.09840348
3	5074.44578255	5105.1818283
3	8958.23643358	9108.37131435
3	9192.38815543	7648.03726455
3	7141.42842854	7830.68541061
3	6103.27780787	6998.79782534
3	8746.42784227	8246.04596155
3	7433.03437366	6520.65525848
3	8602.32526704	6932.97180147
3	7889.86691903	8299.91373449
3	7466.59226153	6807.9681991
3	8958.23643358	7827.77107483
3	9340.77084613	9111.12111653
3	5852.34995536	5799.67249075
3	7123.90342439	6696.33481839
3	4924.4289009	5690.99587067
3	9192.38815543	9721.85959578
3	8336.66600027	7866.82413684
3	8485.28137424	7481.91927249
3	8514.69318296	7202.73170401
3	7500.0	6489.85585356
3	7399.32429347	8282.59488325
3	6873.86354243	5729.49596387
3	8514.69318296	7010.04072741
3	7365.45993133	7790.12541619
3	7433.03437366	6390.89680718
3	6123.72435696	6003.09886642
3	7158.91053164	4914.49748194
3	8902.24690738	6941.31205177
3	7433.03437366	6611.57953896
3	5147.81507049	5993.36107706
3	8817.59604427	8898.80171709
3	7566.37297521	7879.66725186
3	7348.46922835	8359.62810178
3	7794.22863406	7180.06392729
3	5099.01951359	4867.39175534
3	8031.1892021	8231.16674597
3	7141.42842854	8821.38673906
3	7500.0	7022.81937686
3	6144.10286372	6597.07980852
3	6652.06734783	4655.77480125
3	5937.17104352	5463.75200755
3	9552.48658727	7707.47533243
4	8732.12459829	8151.81580999
4	9473.64766075	9205.18375699
4	8674.67578645	7538.62759393
4	9394.14711403	8369.62561887
4	8351.64654425	8494.58751206
4	10136.5674664	8976.58331438
4	9874.20882907	7628.84650521
4	10259.1422643	8865.3986938
4	7599.34207679	6950.55307152
4	8631.33825082	8502.92249759
4	8470.53717305	8689.48657862
4	7176.3500472	8040.37045166
4	8276.47267862	7168.6295064
4	6383.5726674	6269.66043738
4	8874.11967465	9509.44930056
4	8077.7472107	7892.37087319
4	9367.4969976	8620.2644971
4	7599.34207679	8751.94481244
4	6461.42399166	7235.58878047
4	9552.48658727	8293.31483787
4	8276.47267862	7623.0838904
4	7984.35971134	7266.76551156
4	8062.2577483	7663.46710047
4	11022.7038425	9480.85618497
4	8154.75321515	8296.49570602
4	6873.86354243	6786.22737609
4	7228.4161474	6901.86228492
4	9924.71662064	8888.18496657
4	7449.83221288	7624.58359519
4	9759.61064797	9713.03711514
4	9810.70843517	8811.79748973
4	9874.20882907	8357.99264178
4	4472.135955	5438.36795372
4	9500.0	9012.69870793
4	9287.0878105	7619.51015486
4	6964.19413859	7161.02723078
4	8124.03840464	7144.68109855
4	7466.59226153	7989.83379051
4	8366.60026534	7023.61801353
4	7968.68872525	7722.37974979
4	9340.77084613	8429.01524497
4	7810.24967591	7764.930972
4	9578.62203033	8296.68970132
4	7713.62431027	7351.30539428
4	7176.3500472	5811.24418692
4	6946.22199472	6946.80120631
4	9420.72184071	8456.30995175
